,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
88,4425,MARTIGNETTI COMPANIES,21731,Ch Moulin de la Rose St-Juln,45.94,67.99,750.0,132,6064.08,99.0,6731.009999999999,2787.5899999999997,11.05,144929.24,666.9299999999994,9.908319850958467,0.75,1.1099804092294296,45.94,Large,1516.02
89,7245,PROXIMO SPIRITS INC.,2859,Bushmills Irish Honey,12.94,17.99,750.0,468,6055.92,909.0,19312.91,13057.82,716.59,38994.78,13256.99,68.6431511356911,1.9423076923076923,3.1890959589954955,12.94,Large,-5706.54
90,9165,ULTRA BEVERAGE COMPANY LLP,19552,Tenuta Alzatura Sagrantino,12.9,37.99,750.0,468,6037.2,360.0,7196.4,2478.7599999999998,40.230000000000004,68054.7,1159.1999999999998,16.108054027013505,0.7692307692307693,1.1920095408467501,12.9,Large,1393.2
91,7153,PINE STATE TRADING CO,4219,Commander Quincy's Rum Toddy,10.68,13.99,750.0,564,6023.52,525.0,7344.75,4197.0,413.79,15884.82,1321.2299999999996,17.98876748698049,0.9308510638297872,1.2193451669455733,10.680000000000001,Large,416.52
92,6213,MHW LTD,4511,Camus Extra Elegance,249.99,339.99,750.0,24,5999.76,26.0,8839.74,7479.780000000001,20.52,9621.58,2839.9799999999996,32.12741551222094,1.0833333333333333,1.4733489339573582,249.99,Small,-499.98
93,10754,PERFECTA WINES,20516,Ch Le Gay Pomerol,67.56,99.99,750.0,88,5945.280000000001,67.0,6699.33,2599.74,7.48,28720.52,754.0499999999993,11.255603172257514,0.7613636363636364,1.1268317051509769,67.56,Medium,1418.76
94,4425,MARTIGNETTI COMPANIES,2747,Speymalt Macallan 1993 20 Yr,123.07,159.99,750.0,48,5907.36,85.0,13599.150000000001,7839.51,67.01,144929.24,7691.790000000002,56.56081446266863,1.7708333333333333,2.302068944503129,123.07,Medium,-4553.59
95,9744,FREDERICK WILDMAN & SONS,26876,Pol Roger Brut Vintage,54.05,79.99,750.0,108,5837.4,167.0,13358.33,1439.82,18.76,3999.93,7520.93,56.3014239055331,1.5462962962962963,2.2884040840100046,54.05,Medium,-3188.95
96,9552,M S WALKER INC,23353,Parducci True Grit 11 Cab Sv,10.95,15.99,750.0,532,5825.4,1799.0,28766.01,14087.19,200.38,55551.82,22940.61,79.74901628693031,3.3815789473684212,4.938031723143475,10.95,Large,-13873.65
97,9165,ULTRA BEVERAGE COMPANY LLP,25286,A Bichot Morgon Les Charmes,12.83,18.99,750.0,452,5799.16,563.0,10633.369999999999,6239.69,62.480000000000004,68054.7,4834.209999999999,45.462633200951345,1.2455752212389382,1.8336052117892936,12.83,Large,-1424.13
98,10754,PERFECTA WINES,25158,M Lynch Bordeaux Rouge Medoc,10.06,16.99,750.0,576,5794.56,540.0,8110.6,5828.12,59.74,28720.52,2316.04,28.555717209577587,0.9375,1.399692125027612,10.06,Large,362.16
